sample_type,size,operation,time_ms
sequential,1000,insertion,0.5649199971230701
sequential,1000,search,34.737760001735296
sequential,1000,deletion,0.6507599988253787
sequential,2500,insertion,1.4586599980248138
sequential,2500,search,228.37933999835514
sequential,2500,deletion,1.85289999935776
sequential,5000,insertion,3.688539999711793
sequential,5000,search,946.4715000009164
sequential,5000,deletion,3.2687199985957704
sequential,7500,insertion,4.166279998025857
sequential,7500,search,2162.2663400004967
sequential,7500,deletion,5.103099998086691
sequential,10000,insertion,5.716980001307093
sequential,10000,search,3809.0996800005087
sequential,10000,deletion,6.443539999600034
sequential,20000,insertion,11.055719999421854
sequential,20000,search,15338.781279999239
sequential,20000,deletion,13.180039999133442
sequential,40000,insertion,30.456000001868233
sequential,40000,search,61531.84328000061
sequential,40000,deletion,25.817239997559227
sequential,60000,insertion,49.10959999979241
sequential,60000,search,140799.0833399992
sequential,60000,deletion,39.15368000161834
sequential,80000,insertion,56.44259999971837
sequential,80000,search,248180.29383999816
sequential,80000,deletion,52.8619599994272
sequential,100000,insertion,72.03721999976551
sequential,100000,search,392192.67200000177
sequential,100000,deletion,64.69735999853583
random,1000,insertion,0.5233400006545708
random,1000,search,34.96006000059424
random,1000,deletion,0.7159600019804202
random,2500,insertion,1.5004599990788847
random,2500,search,219.83502000075532
random,2500,deletion,1.6058399982284755
random,5000,insertion,7.652520001283847
random,5000,search,904.5090199986589
random,5000,deletion,3.200500000093598
random,7500,insertion,5.2798400007304735
random,7500,search,2064.4513999999617
random,7500,deletion,4.901020000397693
random,10000,insertion,5.5463799988501705
random,10000,search,3708.0375199991977
random,10000,deletion,6.916420001653023
random,20000,insertion,12.576519999129232
random,20000,search,14899.87114000105
random,20000,deletion,13.713439997809473
random,40000,insertion,29.744799999753013
random,40000,search,60112.825359997805
random,40000,deletion,26.04184000083478
random,60000,insertion,43.931260000681505
random,60000,search,134729.80906000012
random,60000,deletion,39.48886000289349
random,80000,insertion,54.996160000155214
random,80000,search,241548.90505999938
random,80000,deletion,52.18172000168124
random,100000,insertion,71.92030000296654
random,100000,search,376493.7089600018
random,100000,deletion,65.58667999925092
