sample_type,size,operation,time_ms
sequential,1000,insertion,6.279240000003483
sequential,1000,search,0.6785800003854092
sequential,1000,deletion,7.400179999967804
sequential,2500,insertion,16.97347999943304
sequential,2500,search,1.8495200012694113
sequential,2500,deletion,20.21628000002238
sequential,5000,insertion,36.69461999961641
sequential,5000,search,3.8949600006162655
sequential,5000,deletion,43.622899999900255
sequential,7500,insertion,56.467759999941336
sequential,7500,search,6.202280000434257
sequential,7500,deletion,68.56681999925058
sequential,10000,insertion,80.50061999965692
sequential,10000,search,8.491399999184068
sequential,10000,deletion,93.68044000002556
sequential,20000,insertion,166.2769600006868
sequential,20000,search,17.988100001821294
sequential,20000,deletion,200.01220000049216
sequential,40000,insertion,352.0462199987378
sequential,40000,search,38.12181999965105
sequential,40000,deletion,428.64538000067114
sequential,60000,insertion,550.766319999093
sequential,60000,search,60.16299999973853
sequential,60000,deletion,672.6094800003921
sequential,80000,insertion,750.2250400008052
sequential,80000,search,81.37730000016745
sequential,80000,deletion,912.9189599996607
sequential,100000,insertion,970.7044600007066
sequential,100000,search,103.18597999867052
sequential,100000,deletion,1168.1010200001765
random,1000,insertion,4.583220000495203
random,1000,search,0.6924400004209019
random,1000,deletion,7.777860001078807
random,2500,insertion,12.984680000226945
random,2500,search,1.8773399999190588
random,2500,deletion,21.22432000032859
random,5000,insertion,26.815419999911683
random,5000,search,4.145999999309424
random,5000,deletion,45.75431999983266
random,7500,insertion,41.85724000126356
random,7500,search,6.522819999372587
random,7500,deletion,71.54503999990993
random,10000,insertion,57.810639998933766
random,10000,search,8.955060000153026
random,10000,deletion,97.57197999861091
random,20000,insertion,126.04643999875407
random,20000,search,19.399859999975888
random,20000,deletion,213.34748000008403
random,40000,insertion,275.07907999970485
random,40000,search,43.478520002099685
random,40000,deletion,461.83971999853384
random,60000,insertion,429.57382000095095
random,60000,search,70.69455999953789
random,60000,deletion,716.6349400002218
random,80000,insertion,631.7290200000571
random,80000,search,107.53853999995044
random,80000,deletion,972.6209999993443
random,100000,insertion,809.8180800006958
random,100000,search,133.80683999930625
random,100000,deletion,1254.7556400000758
