sample_type,size,operation,time_ms
sequential,1000,insertion,0.038660006248392165
sequential,1000,search,3.9366800046991557
sequential,1000,deletion,4.84962000628002
sequential,2500,insertion,0.09392000210937113
sequential,2500,search,24.196200000005774
sequential,2500,deletion,28.782039997167885
sequential,5000,insertion,0.17837999912444502
sequential,5000,search,96.60102000052575
sequential,5000,deletion,113.16256000136491
sequential,7500,insertion,0.2784600044833496
sequential,7500,search,216.25650000351015
sequential,7500,deletion,249.0728000033414
sequential,10000,insertion,0.3515999997034669
sequential,10000,search,383.6014999978943
sequential,10000,deletion,443.2504200027324
sequential,20000,insertion,0.6849800032796338
sequential,20000,search,1542.9551599983824
sequential,20000,deletion,1804.553780000424
sequential,40000,insertion,1.4025999989826232
sequential,40000,search,6202.952739998
sequential,40000,deletion,7064.348239995888
sequential,60000,insertion,2.0370000012917444
sequential,60000,search,13781.97023999819
sequential,60000,deletion,15852.084880002076
sequential,80000,insertion,2.685999995446764
sequential,80000,search,24895.2019999997
sequential,80000,deletion,28787.51568000007
sequential,100000,insertion,3.409919998375699
sequential,100000,search,39033.1439600006
sequential,100000,deletion,45356.35504000238
random,1000,insertion,0.038020004285499454
random,1000,search,3.891539995674975
random,1000,deletion,4.233100003330037
random,2500,insertion,0.09485999762546271
random,2500,search,26.7794799990952
random,2500,deletion,25.72637999546714
random,5000,insertion,0.16719999839551747
random,5000,search,93.1418600055622
random,5000,deletion,103.51882000395562
random,7500,insertion,0.2573400008259341
random,7500,search,208.75881999672856
random,7500,deletion,235.3173199982848
random,10000,insertion,0.34927999950014055
random,10000,search,371.7617399961455
random,10000,deletion,408.46179999934975
random,20000,insertion,0.691759999608621
random,20000,search,1478.4916800039355
random,20000,deletion,1661.8069000047399
random,40000,insertion,1.3361599936615676
random,40000,search,5936.414859996876
random,40000,deletion,6590.264300003764
random,60000,insertion,2.020879997871816
random,60000,search,13296.140480000759
random,60000,deletion,14974.670320004225
random,80000,insertion,2.65592000214383
random,80000,search,24085.3120600048
random,80000,deletion,26910.93821999675
random,100000,insertion,3.36321999784559
random,100000,search,37980.83508000127
random,100000,deletion,42972.561959997984
